sub,Symmetric,Asymmetric,Symmetric_learnoptions,Asymmetric_learnoptions,Symmetric_reset,Asymmetric_reset,Symmetric_1stBlockOnly,Asymmetric_1stBlockOnly,Perseverance
1,102.8116152,109.9185227,,,102.6263721,107.8003562,74.48780334,73.80364023,103.3433091
3,118.5708647,31.18507092,,,120.5711356,69.55669076,55.63684258,28.64452724,119.5922834
4,105.7632165,79.52083154,,,105.8627675,78.76994037,43.87861029,46.03770168,97.30591158
6,84.31321827,70.88241949,,,83.74833315,71.57342088,34.78156699,26.63323116,84.84751545
8,81.29221591,85.10587733,,,81.6042303,84.26955229,49.46884391,50.14305917,81.99178732
9,87.05699599,85.03918283,,,87.10245963,87.5160047,46.95824531,46.5576781,88.08147496
10,65.38324352,33.34087855,,,62.0214345,38.04334649,24.43058369,22.88768602,66.00629903
12,89.92543075,60.09335749,,,88.75011081,59.83674737,38.20503728,37.35729824,90.69483461
13,67.94179776,50.92897626,,,66.24010622,52.40602925,30.03500166,31.11050429,67.16765084
14,91.91846816,74.8326597,,,92.59649883,74.12673538,38.2597218,28.7063671,91.31868113
15,126.315808,60.80234127,,,126.2850052,76.65211615,29.40871295,21.83510389,118.1193097
16,62.39028491,28.96456071,,,62.75018545,28.68486456,27.81606052,18.71863849,62.6915365
17,137.4932696,126.7185874,,,137.4607742,128.4838686,60.93251829,58.45513593,138.5279823
18,63.09125567,37.71817141,,,64.21704912,37.23670578,20.37344636,19.92058267,63.36644787
19,114.4046689,76.3783508,,,115.0267036,84.42583654,42.01049779,39.56793429,114.4888414
21,102.7209534,87.2876835,,,102.7401307,57.17828208,29.35168212,19.62453974,103.7692099
23,76.98001213,52.6074943,,,76.31636264,55.84739421,30.03417597,18.37800827,76.74108861
25,82.2790531,47.33431189,,,80.54478644,46.89682565,38.36915362,27.19079802,82.58173089
27,88.07984049,57.0263951,,,87.12353468,47.78374047,37.92859448,20.77644845,88.04591909
29,52.19414086,53.66619214,,,51.98971282,56.87206597,26.4011576,31.74228799,49.96910135
30,78.00006176,30.57241184,,,77.9783977,34.8248343,25.86910436,19.87747382,78.83398894
31,98.04019568,99.7182857,,,98.43463751,98.20837418,49.69103518,51.9552943,97.23271358
32,144.2335322,101.8099395,,,143.3884226,106.0823081,84.02556301,66.01700659,143.9370058
33,90.10576918,75.60816323,,,90.09445888,75.19617932,36.86813577,38.83988572,87.3169736
34,80.28091479,66.19944663,,,79.96725847,67.94043456,44.3255316,37.23776309,80.30974256
35,93.94638842,93.02740597,,,93.99799225,96.56643627,44.11512592,44.98362828,143.6639453
36,95.73780285,26.54162418,,,95.73970367,37.46314594,23.50950512,14.83168019,85.0090497
37,80.13045496,64.86060919,,,81.13146493,63.43567628,32.48246286,31.00179964,80.93416818
39,124.302339,63.7271235,,,124.4565698,92.37654196,51.55730275,23.90283794,125.2722032
40,101.454933,87.08124704,,,101.4038062,70.03515268,45.73295168,35.2673417,102.3163833
41,104.3465902,77.77004893,,,91.35747736,79.00537601,57.40523093,46.841693,104.2883919
43,113.9976307,55.07568931,,,113.2574842,63.38460495,53.21516112,28.78856407,114.176155
49,110.5145009,109.1705487,,,111.3365295,111.5867785,65.44677473,62.48852322,111.3846667
50,84.79437283,85.84916935,,,98.57775715,97.66092067,58.73461719,52.83636583,99.38267794
52,104.5719767,56.13081423,,,103.5157506,60.17418424,48.1464867,25.39429247,105.3404158
54,101.3545372,70.92436023,,,104.4867311,83.02638364,38.48452416,32.67862949,102.2069575
56,128.1991106,126.0160827,,,127.838575,124.3806654,82.40510776,59.96034311,128.2637984
60,119.2767498,69.67637979,,,119.3049402,65.10965098,51.13229667,41.16181428,112.033204
61,110.3855473,103.7923032,,,112.1684984,102.215518,68.76966128,69.21622153,110.7356081
62,84.10726834,31.28683987,,,84.14976005,30.48638461,29.1349253,14.63785451,80.292555
